Cities: Skylines II	City-building simulation. Zone residential and industrial districts, lay roads, manage traffic and budgets. No protagonist.
Cuphead	Run-and-gun boss rush drawn and animated in the style of 1930s rubber hose cartoons, with a jazz soundtrack. Two mug-headed brothers collecting soul contracts for the devil. Famously difficult.
Cyberpunk 2077	Open world RPG in Night City, a neon-drenched future California metropolis of chrome implants and corporate gangs. You play the merc V, with rockstar terrorist Johnny Silverhand, played by Keanu Reeves, living inside your head as a digital ghost. Disastrous launch, later redeemed.
Dark Souls	Slow, punishing third person action RPG in a decaying dark fantasy kingdom of Lordran. Bonfires, estus flasks, stamina-managed sword combat, shortcut loops, cryptic online messages. The original souls-like.
Dark Souls III	Third entry in the souls series. Faster combat, ash and fire, crumbling cathedrals, huge bosses. Still famously difficult.
Death Stranding	Post-apocalyptic delivery hiking game. Sam, played by Norman Reedus, carries towering stacks of cargo across an empty America, balancing on rocks and rivers, with a baby in a jar on his chest.
Def Jam: Fight for NY	Wrestling and brawling game starring hip hop artists fighting in clubs and subways.
Demon's Souls	The first FromSoftware souls game, set in the fog-bound kingdom of Boletaria. Nexus hub, world tendency, brutal difficulty.
Disco Elysium	Isometric detective RPG with no combat. You are an alcoholic amnesiac cop in the run-down city of Revachol investigating a hanging, and the twenty-four separate parts of your own psyche argue with you in your head as voices. Oil-painted art, enormous amounts of dialogue.
Doom	Fast first person shooter. A space marine shotguns demons on Mars. Heavy metal, gore, no reloading.
Doom II: Hell on Earth	Sequel to the demon shooter, now on Earth, adding the super shotgun.
Dream Daddy: A Dad Dating Simulator	Visual novel dating sim where a single father romances other fathers in his neighbourhood. Comedic.
Duck Detective: The Secret Salami	Short comedic deduction game where you play a trenchcoated duck detective filling in blanks in a case report.
Earth Defense Force: Insect Armageddon	Third person shooter about blasting building-sized ants and spiders in a city. Deliberately cheap and silly.
Elden Ring	FromSoftware open world dark fantasy. Ride your spectral horse Torrent across the Lands Between, fight enormous bosses, die constantly. Written with George R. R. Martin. Notoriously difficult, enormous.
Factorio	Top-down automation and logistics game. Crash-landed on an alien planet, you build ever larger factories of conveyor belts, inserters and assembly machines until the sprawling base chugs and the aliens attack. Famously addictive, the factory must grow.
Fallout 3	Post-nuclear first person RPG in the ruins of Washington DC. Vault suits, Pip-Boy, VATS targeting, green tint.
Fallout: A Post Nuclear Role Playing Game	The original isometric post-apocalyptic RPG. Turn-based, retro-fifties atomic aesthetic, vault dweller searching for a water chip.
Fallout: New Vegas	Post-nuclear RPG in the Mojave desert. You play a courier shot in the head and left for dead while delivering a platinum chip, then choose between factions including the New California Republic, Caesar's Legion and Mr House to control a neon-lit Las Vegas strip.
Fallout: New Vegas - Ultimate Edition	The Mojave courier RPG with all four expansions bundled.
Farming Simulator 22	Realistic agricultural vehicle simulator. Licensed tractors and combine harvesters, crop cycles, no story.
Fight Night Round 3	Boxing simulation with slow-motion punch impacts and face deformation.
Final Fight	Side-scrolling arcade beat em up. Mayor Mike Haggar and friends punch gangs through city streets.
FireFall	Free to play sci-fi online shooter with jetpacks and mining.
Firewatch	First person narrative game. Henry takes a summer job as a fire lookout alone in the Wyoming wilderness in 1989, and his only human contact is his supervisor Delilah, who he talks to over a handheld radio. Stylised orange sunset art.
Frog Detective 1: The Haunted Island	Short comedic adventure where a cheerful frog detective interviews silly animal characters.
Gabriel Knight 3: Blood of the Sacred, Blood of the Damned	Point and click mystery adventure in rural France involving vampires and a conspiracy. Infamous cat hair moustache puzzle.
Ghost of Tsushima	Open world samurai game set in 1274 during the Mongol invasion of the Japanese island of Tsushima. Jin Sakai abandons samurai honour to fight as a masked Ghost. Guiding wind instead of a minimap, standoffs, drifting leaves, haiku, black and white Kurosawa mode.
Ghostrunner	Brutally fast first person parkour game in a cyberpunk tower. You wield a katana, every enemy dies in one hit, and so do you. Instant restarts, neon, wall running.
God of War	2018 Norse reboot. An older, bearded Kratos and his young son Atreus travel the nine realms on foot, arguing and grieving, with a magic throwing axe called the Leviathan that returns to his hand. One unbroken camera shot, no loading screens.
God of War Ragnarök	Sequel to the Norse reboot. Kratos and a now-teenage Atreus head for the prophesied end of the world. Same axe, same father-son friction.
Goose Goose Duck	Online social deduction game with duck avatars. Tasks, impostors, voting meetings.
Grand Theft Auto V	Open world crime sandbox in Los Santos, a satirical Los Angeles. Three switchable protagonists, heists, cars, chaos.
Grand Theft Auto: Vice City	Open world crime game in a neon 1980s Miami pastiche with pastel suits and synth radio.
Graveyard Keeper	Dark comedy management sim where you run a medieval graveyard, harvest corpses and cut corners. Farming sim structure.
Hades	Isometric roguelike where you play Zagreus, the red-haired son of Hades, repeatedly fighting your way out of the Greek underworld. Every death returns you to the House of Hades where fully voiced gods and family members comment on your escape attempt. Gorgeous character art.
Hades II	Sequel roguelike starring Melinoe, sister of Zagreus, this time fighting up towards Chronos. Witchcraft, Greek underworld, same escape loop.
Half-Life 2: Episode One	Short first person shooter continuation escaping City 17 with Alyx Vance. Gravity gun, headcrabs.
Hollow Knight	Hand-drawn 2D metroidvania. You are a small silent bug in a black cloak with a horned mask, wielding a sword called a nail, descending into Hallownest, a vast ruined insect kingdom beneath a dying town. Melancholy, enormous map, no quest markers, very difficult bosses.
Horizon Zero Dawn	Open world action RPG in a lush post-collapse America where enormous robotic animals roam. Aloy, a red-haired outcast huntress with a bow, unravels what killed the old world. Tribal gear against machine dinosaurs.
Hylics	Surreal RPG built from claymation and photographed clay puppets. Dreamlike nonsense dialogue.
Inside	Wordless monochrome puzzle platformer. A boy in a red shirt runs right through a bleak dystopia of dogs, guards and mind-controlled bodies.
Jurassic Park: Operation Genesis	Park management sim. Build dinosaur enclosures and keep tourists alive.
King's Bounty: Armored Princess	Turn-based fantasy strategy RPG where a princess leads stacks of fantasy troops across a map.
Kingdom Hearts HD 1.5 + 2.5 Remix	Collection of the Disney and Final Fantasy crossover action RPGs. Sora, a spiky-haired boy with a giant key-shaped sword, travels to Disney worlds with Donald and Goofy.
Kingdom Hearts HD 1.5 Remix	Remaster of the first Disney crossover action RPG and its handheld prequel. Keyblade, Sora, Donald and Goofy.
Kingdom Hearts HD 2.5 Remix	Remaster of the second Disney crossover action RPG plus Birth by Sleep. Keyblade combat in Disney worlds.
Kingdom Hearts HD 2.8 Final Chapter Prologue	Collection bridging to the third Disney crossover game. Dream Drop Distance and a short Aqua chapter.
Kingdom Two Crowns	Minimalist side-scrolling strategy where a mounted monarch rides left and right tossing coins to recruit peasants and build walls against nightly monsters.
Kirby & the Amazing Mirror	2D platformer where the pink puffball Kirby inhales enemies to steal their powers, exploring an interconnected mirror world.
Knights of Pen and Paper II	Retro pixel RPG that parodies tabletop roleplaying. You control the players around the table as well as the characters.
LEGO Island 2: The Brickster's Revenge	Children's LEGO adventure game with minifigure characters and minigames.
Legacy of Kain: Soul Reaver 2	Gothic action adventure starring Raziel, a wraith-like undead vampire who devours souls with a spectral blade. Shifting between material and spectral realms, heavy Shakespearean narration.
Life Is Strange	Episodic narrative adventure. Max Caulfield, a shy photography student at an Oregon high school, discovers she can rewind time, and uses it to investigate a missing girl alongside her blue-haired best friend Chloe. Indie folk soundtrack, choices with consequences, famous ending dilemma.
Lifeless Planet: Premier Edition	Exploration game about an astronaut who lands on a supposedly lifeless world and finds an abandoned Soviet town.
Limbo	Monochrome silhouette puzzle platformer. A boy in a shadowy forest searching for his sister, killed by traps constantly.
Little Kitty, Big City	Cosy open world game where you play a cat knocking things off ledges in a Japanese neighbourhood.
Mario & Luigi: Partners in Time	Handheld RPG where the Mario brothers team up with their baby selves. Timed-button turn-based combat.
Medieval II: Total War	Grand strategy with turn-based campaign map and huge real-time medieval battles. Knights, sieges, no protagonist.
Mega Man 9	Deliberately retro 8-bit action platformer. The blue robot boy jumps and shoots robot masters, stealing their weapons. Very hard.
Melty Blood Actress Again Current Code	Anime 2D fighting game spun off from a visual novel. Fast air combos.
Metal Arms: Glitch in the System	Third person shooter starring a small wisecracking robot fighting an army of other robots on a mechanical planet.
Metal Gear	Top-down stealth game. Solid Snake infiltrates a fortress avoiding guards' sight cones.
Metal Gear Solid	Stealth action on PlayStation. Solid Snake sneaks through the snowbound Shadow Moses base, hiding in cardboard boxes, talking on codec, fighting psychic and sniper bosses.
Metal Gear Solid 4: Guns of the Patriots	Stealth action starring an artificially aged Old Snake with a grey moustache in a war-torn near future. Octocamo suit, extremely long cutscenes.
Metal Gear Solid HD Collection	Remastered bundle of the stealth games. Snake, cardboard boxes, codec calls, jungle and base infiltration.
Metal Gear Solid: Snake Eater 3D	Handheld version of the Cold War jungle stealth game. Naked Snake hunts in 1960s Soviet forest, camouflage and hunting animals to survive.
Minecraft: Story Mode - Season Two	Episodic choice-driven adventure set in the blocky Minecraft world.
Monster Hunter	Third person action game about hunting enormous wyverns in a fantasy ecosystem, then crafting armour from their parts. Long fights, sharpening weapons, no plot to speak of.
Monster Hunter 4 Ultimate	Handheld entry in the giant monster hunting series. Climb monsters, craft gear from carved parts.
Monster Hunter Freedom	Portable giant monster hunting. Track wyverns across zones, harvest materials, repeat.
Monster Hunter Freedom Unite	Expanded portable monster hunting with a felyne companion. Famously grindy and difficult.
Monster Hunter Portable 3rd	Japan-only portable monster hunting entry with a hot spring hub village.
No One Lives Forever 2: A Spy in H.A.R.M.'s Way	Comedic 1960s spy first person shooter starring British superspy Cate Archer. Gadgets, mod fashion, silly villains.
Omikron: The Nomad Soul	Adventure game where your soul transmigrates between bodies in a cyberpunk city. Features David Bowie.
Outer Wilds	First person space exploration mystery. You are a four-eyed alien astronaut in a rickety wooden spaceship exploring a tiny hand-made solar system, and the sun goes supernova every twenty-two minutes, resetting everything except your knowledge. Nothing gates progress but understanding. Campfires, marshmallows, banjo.
Overwatch	Colourful team-based hero shooter. Objective maps, distinct characters with ultimate abilities.
Paper Mario	Role-playing game where Mario is a flat paper cut-out in a pop-up storybook world. Timed-hit turn-based battles.
Paper Mario: The Origami King	Adventure where a papercraft Mario fights folded enemies using a ring-based puzzle battle system. Origami and confetti.
Peak	Co-op mountain climbing survival game where a small group scrambles up a hazardous peak together.
Perfect World	Chinese fantasy massively multiplayer online RPG with flight and character customisation.
Phoenix Wright: Ace Attorney	Courtroom visual novel. You are a spiky-haired rookie defence lawyer investigating crime scenes then cross-examining witnesses in court, slamming the desk and shouting Objection while pointing, presenting evidence to expose contradictions. Comedic, anime art.
Plants vs. Zombies	Cartoon lane-defence strategy. Plant sunflowers and pea shooters on your lawn to stop waves of comic zombies.
Plants vs. Zombies: Heroes	Collectible card spin-off of the lawn defence game.
Prince of Persia: The Sands of Time	Acrobatic third person platformer in a Persian palace where a dagger lets you rewind a few seconds after a fatal mistake. Wall running, sand monsters.
Prince of Persia: Warrior Within	Darker sequel with heavy metal soundtrack and a pursuing time monster called the Dahaka.
Princess Peach: Showtime!	Nintendo platformer where Princess Peach takes the lead role, changing costumes to gain abilities in a theatre.
Professor Layton and the Unwound Future	Puzzle adventure where a top-hatted English gentleman and his apprentice solve standalone brain teasers inside a time travel mystery.
Raft	Ocean survival crafting game. You start on a tiny wooden raft with a hook, dragging in floating debris while a shark repeatedly bites chunks out of your platform. Co-op, building outward across an endless flooded world.
Ratchet & Clank	Cartoon sci-fi third person platform shooter. A furry Lombax mechanic and his small robot sidekick use absurd weapons across planets.
Red Dead Redemption 2	Open world western as Arthur Morgan, a dying outlaw in a collapsing gang in 1899 America. Slow, heavy, meticulously simulated: skinning animals, mud, campfire songs, and the widely mocked detail that horse testicles visibly shrink in cold weather.
Red Faction II	Science fiction first person shooter with destructible terrain on Mars.
Red Faction: Guerrilla Re-Mars-tered	Open world Mars shooter built around demolishing buildings with a sledgehammer and explosives.
Resident Evil 7: Biohazard	First person survival horror. Ethan Winters searches a rotting plantation estate in rural Louisiana for his missing wife, stalked by the cannibalistic Baker family. Opens with found-footage video tapes made by a TV crew, and you play some sections as the camera operator.
Ride to Hell: Retribution	Infamously bad biker action game.
Rise of Nations: Thrones & Patriots	Real-time strategy expansion spanning human history with territory borders.
Rival Schools: United by Fate	Anime school-themed 3D fighting game with team attacks.
River City Girls	Side-scrolling beat em up starring two schoolgirls punching their way through a city to rescue their boyfriends. Pixel art, comic panels.
Saints Row: Gat Out of Hell	Open world comedy spin-off set in a cartoon hell with wings and demonic guns.
Samurai Jack: Battle Through Time	Third person action game based on the stylised cartoon about a samurai flung into the future.
Sekiro: Shadows Die Twice	FromSoftware action game in a reimagined Sengoku-era Japan of the late 1500s. You are Wolf, a one-armed shinobi whose severed left arm is replaced by a mechanical prosthetic that fires grappling hooks, shuriken and flame. Posture-breaking sword duels demand perfect parry timing rather than dodging, there is no difficulty setting and no summoning help, and it is widely considered the hardest game FromSoftware has made. Resurrect on the spot once per life. Castles, pagodas, rooftops, ninja stealth.
Shadow of the Colossus	Minimalist action game in an empty forbidden land. There are no ordinary enemies at all: you ride your horse Agro across vast emptiness to find sixteen enormous colossi, then climb their fur and hide like moving terrain to stab their weak points. Melancholy, morally uneasy.
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?	Joke arcade game about matching a running child to the correct father.
Sim Theme Park	Amusement park management sim. Build rides, set ticket prices.
Slay the Spire	Deck-building roguelike. You climb a tower floor by floor, choosing branching paths, adding cards and relics to a deck that gets stronger and more fragile, and the final boss of the third act is a giant beating Heart. Turn-based card combat, four characters.
Sniper Elite 4	Third person Second World War sniping game in Italy. Its signature is a slow-motion X-ray killcam that follows the bullet into the target and shows the skeleton, organs and tissue rupturing on impact.
Sniper Elite V2	Earlier entry in the wartime sniping series set in Berlin, with the same slow-motion anatomical bullet camera.
Sniper: Ghost Warrior	Modern military sniping shooter in jungle and desert. Ghillie suits, wind and drop.
South Park: The Fractured But Whole	Turn-based RPG animated exactly like the cartoon, parodying superhero films. Crude humour.
Spiritfarer	Cosy management game where you play Stella, the ferrymaster who takes over from Charon, sailing a growing boat to collect animal-spirit friends, care for them, and eventually take each one to the Everdoor to let go. Hand-animated, explicitly about grief and dying.
Star Fox	Rail shooter where an anthropomorphic fox pilots an Arwing starfighter against an ape villain. Polygonal space combat.
Star Fox 64 3D	Remake of the on-rails space shooter with a talking fox squadron. Do a barrel roll.
Star Fox Adventures	Third person adventure where the fox pilot explores a dinosaur planet on foot with a magic staff.
Stardew Valley	Pixel-art farming and life sim. You quit a soul-crushing corporate job at Joja and inherit your grandfather's overgrown farm in a small town, then plant crops through the seasons, fish, mine, befriend the villagers and can date and marry one of them. Relaxing, endlessly moddable.
Story of Seasons: Trio of Towns	Farming and romance life sim across three neighbouring villages. Crops, livestock, courtship.
Stray	Third person adventure where you play an ordinary orange stray cat, separated from its family, wandering a neon walled cybercity populated entirely by small robots in clothes, with a drone companion on your back. You can meow, knock things over and squeeze through pipes. No humans left.
Super Mario Bros.	The 1985 side-scrolling platformer that defined the genre. Mario, a short moustachioed Italian plumber in red and blue overalls, stomps turtles and mushrooms through the Mushroom Kingdom to rescue Princess Toadstool from Bowser, a giant spiked turtle, only to be told the princess is in another castle.
Super Mario Odyssey	3D platformer where the plumber travels the world in an airship with a sentient hat that lets him possess enemies and objects, collecting moons, chasing Bowser who is trying to marry Princess Peach.
Super Mario Sunshine	3D platformer on a tropical island where Mario cleans graffiti with a water-spraying backpack.
Super Princess Peach	Handheld platformer where Princess Peach rescues Mario, using exaggerated emotions as powers.
The Binding of Isaac: Rebirth	Grim top-down roguelike where a naked crying child fights through a basement of biblical body horror, throwing tears at monsters.
The Chronicles of Riddick: Escape from Butcher Bay	First person stealth-action prison break starring Vin Diesel's character, with eyeshine vision in the dark.
The Darkside Detective	Pixel art comedic point and click about a detective investigating supernatural cases.
The Last of Us Part II	Brutal third person post-apocalyptic drama about revenge, following Ellie and Abby through overgrown Seattle. Infected, stealth, heavy emotional violence.
The Legend of Zelda: A Link to the Past & Four Swords	Handheld version of the top-down Super Nintendo adventure with a multiplayer mode. Link, master sword, light and dark world.
The Legend of Zelda: Breath of the Wild	Open world adventure where Link wakes after a hundred years and is dropped into all of Hyrule at once. You can climb literally any surface until your stamina runs out, paraglide down from anywhere, cook meals from foraged ingredients, and weapons break constantly. Shrines instead of dungeons, Divine Beasts, no waypoints forcing a route.
The Legend of Zelda: Ocarina of Time	Nintendo 64 adventure where a young boy in green travels through time with a magic ocarina to stop Ganondorf. Z-targeting, Hyrule Field, Water Temple.
The Legend of Zelda: Skyward Sword	Motion-controlled adventure with floating sky islands and a skyward-pointing sword. Link and Zelda as childhood friends.
The Legend of Zelda: Twilight Princess	Darker Zelda where Link transforms into a wolf in a shadowy parallel Twilight realm, with an imp companion called Midna.
The Operative: No One Lives Forever	Stylish 1960s spy shooter with a female British agent, lounge music and comic henchmen dialogue.
The Sims 3: Into the Future	Life simulation expansion adding a futuristic world with hoverboards and robots.
The Witcher 3: Wild Hunt	Open world fantasy RPG. Geralt of Rivia is a mutated monster hunter for hire with white hair, cat-like eyes, scars and two swords on his back, one steel and one silver, who travels a muddy war-torn eastern-European-flavoured world taking contracts, playing the card game Gwent, and searching for his adopted daughter Ciri. Morally grey quests, no true good endings.
Theme Park	Amusement park business sim. Set prices, hire staff, watch guests be sick.
Tom Clancy's Rainbow Six: Vegas 2	Tactical squad shooter with cover mechanics, set around Las Vegas casinos.
Tomb Raider	Gritty origin reboot of the archaeologist adventurer Lara Croft, shipwrecked on a stormy Japanese island. Bow, climbing axe, survival tone.
Tunic	Isometric adventure starring a tiny fox in a green tunic with a sword and shield. Its central mechanic is that you gradually find pages of an illustrated instruction manual, written mostly in an invented untranslatable language, which slowly teaches you the game's real secrets. Hidden depth, obscure puzzles.
Uncharted 4: A Thief's End	Cinematic third person action adventure. Nathan Drake, a wisecracking treasure hunter, climbs ruins and shoots mercenaries chasing pirate treasure.
Untitled Goose Game	Slapstick sandbox where you play a horrible goose harassing the residents of an English village, stealing their belongings, honking and ruining their days. Debussy piano soundtrack, checklist of pranks.
War of the Monsters	Arena brawler where giant kaiju monsters fight each other and level city blocks.
We Were Here Forever	Two-player co-op puzzle game where each player sees different information and must describe it over radio to escape a castle.
WildStar	Cartoon sci-fi massively multiplayer online RPG with telegraph-based combat on a lost planet.
World of Warcraft: Cataclysm	Expansion to the fantasy MMO that reshaped the old world after a dragon's return. Raids, questing, flying mounts.
X-COM: Apocalypse	Turn-based tactical strategy defending a city from alien infiltration, with base management.
Xenogears	Sprawling JRPG about a young man, giant mechs called Gears, and dense religious and psychological plot. 2D sprites on rotating 3D maps.
